id,user,uid,version,changeset,timestamp
23629207,erkinalp,113816,20,18555027,2013-10-26T17:53:32Z
23629212,niranjana,1233292,7,15369382,2013-03-15T05:08:06Z
23629213,c19,11127,1,66245,2008-04-06T00:46:56Z
23629218,niranjana,1233292,6,15369337,2013-03-15T04:53:41Z
23629224,VinothS,1250401,11,15751342,2013-04-16T15:11:14Z
23629226,VinothS,1250401,5,15751342,2013-04-16T15:11:13Z
23629262,niranjana,1233292,3,15369382,2013-03-15T05:08:06Z
23629264,sbt01,2189968,8,24331096,2014-07-24T13:57:49Z
23629267,VinothS,1250401,10,15751342,2013-04-16T15:11:13Z
23629272,VinothS,1250401,11,15751342,2013-04-16T15:11:12Z
23629285,niranjana,1233292,4,15369015,2013-03-15T03:19:42Z
23629296,VinothS,1250401,5,15749241,2013-04-16T12:34:01Z
23629297,VinothS,1250401,4,15749241,2013-04-16T12:34:11Z
23629301,erkinalp,113816,10,20193401,2014-01-25T13:31:59Z
23629306,hari t,1253065,11,15751478,2013-04-16T15:25:40Z
23629311,BalaguruD,1233275,6,15617049,2013-04-05T09:21:00Z
23629335,VinothS,1250401,3,15370334,2013-03-15T08:21:24Z
23629341,hari t,1253065,5,15751478,2013-04-16T15:25:45Z
23629349,erkinalp,113816,7,36217403,2015-12-28T12:27:06Z
23629350,VinothS,1250401,5,15370334,2013-03-15T08:21:30Z
23629359,VinothS,1250401,3,15370334,2013-03-15T08:21:30Z
23629360,hari t,1253065,2,15751478,2013-04-16T15:25:41Z
23629363,c19,11127,1,66245,2008-04-06T01:01:54Z
23629367,VinothS,1250401,9,15749241,2013-04-16T12:34:04Z
23629375,c19,11127,2,66245,2008-04-06T01:04:09Z
23629399,RichRico,2219338,2,40264808,2016-06-24T15:41:19Z
23629431,kshuseyin,300055,18,37946576,2016-03-19T22:01:39Z
23629458,kshuseyin,300055,8,36348553,2016-01-03T22:02:57Z
23629486,katpatuka,17497,3,12669602,2012-08-09T15:09:21Z
23629498,erkinalp,113816,3,2012484,2009-08-02T11:46:11Z
23629504,alerque,123129,4,7091327,2011-01-26T08:56:49Z
23729832,katpatuka,17497,9,5838287,2010-09-21T16:22:58Z
23729842,katpatuka,17497,9,5838287,2010-09-21T16:50:33Z
23729843,erkinalp,113816,5,2153026,2009-08-15T12:43:24Z
23729847,katpatuka,17497,11,5838287,2010-09-21T16:50:52Z
23729852,enesates,807253,6,13010023,2012-09-06T13:32:39Z
23729854,vignesh anand,1233267,11,15358357,2013-03-14T03:21:35Z
23729861,erkinalp,113816,8,2153026,2009-08-15T13:03:10Z
23729862,erkinalp,113816,8,2153026,2009-08-15T13:02:16Z
24660014,sbt01,2189968,16,24286678,2014-07-22T06:52:08Z
24660048,abel801,2377377,11,30101991,2015-04-09T19:44:43Z
24664662,Dropman,1891545,20,33035633,2015-08-01T19:04:11Z
24664762,BalaguruD,1233275,2,15774548,2013-04-18T15:25:20Z
24664771,katpatuka,17497,2,23539,2008-06-02T20:01:44Z
24664832,erkinalp,113816,4,2153026,2009-08-15T13:04:20Z
24664913,erkinalp,113816,4,2153273,2009-08-15T13:06:26Z
24664917,erkinalp,113816,5,2153362,2009-08-15T13:21:21Z
24664918,dmgroom_ct,437598,8,17557577,2013-08-28T16:20:26Z
24664920,erkinalp,113816,21,43064079,2016-10-21T16:52:26Z
24664921,dmgroom_ct,437598,7,17557577,2013-08-28T16:20:26Z
24664992,vignesh anand,1233267,8,15358357,2013-03-14T03:21:36Z
24664994,calfarome,2511706,5,43130241,2016-10-24T16:52:18Z
24665136,aytfadc,58255,10,39968090,2016-06-12T10:23:11Z
24665152,sheik farid,1233282,6,15358192,2013-03-14T02:32:35Z
24665159,Roman Fischer,78090,4,4455774,2010-04-18T09:35:25Z
24665164,erkinalp,113816,17,46955792,2017-03-18T13:03:54Z
24665236,aytfadc,58255,8,39968090,2016-06-12T10:23:09Z
24665291,aytfadc,58255,7,39968090,2016-06-12T10:23:13Z
24665294,aytfadc,58255,8,39968090,2016-06-12T10:22:41Z
24665341,aytfadc,58255,8,39968090,2016-06-12T10:22:41Z
24665360,Dropman,1891545,9,32197730,2015-06-25T06:12:05Z
24665449,aytfadc,58255,19,41410728,2016-08-12T13:21:13Z
24665457,aytfadc,58255,15,39968090,2016-06-12T10:22:23Z
24665502,mmmutlu,191289,4,32381853,2015-07-03T08:18:15Z
24665664,aytfadc,58255,11,41410728,2016-08-12T13:21:13Z
24665681,Dropman,1891545,10,32197730,2015-06-25T06:12:04Z
24665732,mmmutlu,191289,5,32381853,2015-07-03T08:18:15Z
24665832,mmmutlu,191289,16,32381853,2015-07-03T08:18:08Z
24665893,Dropman,1891545,8,32181817,2015-06-24T12:02:13Z
24665930,Dropman,1891545,6,32197730,2015-06-25T06:12:06Z
24665944,mmmutlu,191289,17,32381853,2015-07-03T08:18:09Z
24665968,Dropman,1891545,9,32197730,2015-06-25T06:12:06Z
24665996,mmmutlu,191289,5,32380874,2015-07-03T07:36:48Z
24666013,mmmutlu,191289,5,32380874,2015-07-03T07:36:48Z
24666165,katpatuka,17497,5,17212856,2013-08-04T10:21:09Z
24675848,ayhanozates,1628470,19,19321479,2013-12-07T12:04:56Z
24675890,dmgroom_ct,437598,15,17386695,2013-08-17T17:43:25Z
24675891,ayhanozates,1628470,21,19322390,2013-12-07T13:14:35Z
24675895,ayhanozates,1628470,7,19321479,2013-12-07T12:04:58Z
24676139,katpatuka,17497,3,20809921,2014-02-27T14:24:16Z
24676144,katpatuka,17497,5,20809921,2014-02-27T14:24:09Z
24676161,vignesh anand,1233267,4,15431358,2013-03-20T13:03:44Z
24676225,katpatuka,17497,3,20809921,2014-02-27T14:24:17Z
24676243,Roman Fischer,78090,3,4455774,2010-04-18T09:35:25Z
24676244,dmgroom_ct,437598,5,17386695,2013-08-17T17:43:14Z
